ID,Template Name,Provider,Template ID,Alias,Rate Limit
a1b2c3d4-0018-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-account-monthly-statement-fr,POSTMARK,42134455,gn-b2b-account-monthly-statement-fr,50
a1b2c3d4-0019-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-auth-suspicious-login-attempt-en,POSTMARK,41995034,gn-b2b-auth-suspicious-login-attempt-en,50
a1b2c3d4-0020-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-auth-suspicious-login-attempt-fr,POSTMARK,41995077,gn-b2b-auth-suspicious-login-attempt-fr,50
a1b2c3d4-0021-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-auth-first-login-en,POSTMARK,41995127,gn-b2b-auth-first-login-en,50
a1b2c3d4-0022-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-auth-first-login-fr,POSTMARK,41995078,gn-b2b-auth-first-login-fr,50
a1b2c3d4-0023-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-auth-multiple-failed-login-attempts-en,POSTMARK,41995120,gn-b2b-auth-multiple-failed-login-attempts-en,50
a1b2c3d4-0024-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-auth-multiple-failed-login-attempts-fr,POSTMARK,41995148,gn-b2b-auth-multiple-failed-login-attempts-fr,50
a1b2c3d4-0025-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-call-booked-en,POSTMARK,42294664,gn-b2b-call-booked-en,50
a1b2c3d4-0026-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-call-booked-fr,POSTMARK,42294677,gn-b2b-call-booked-fr,50
a1b2c3d4-0027-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-call-rescheduled-en,POSTMARK,42294781,gn-b2b-call-rescheduled-en,50
a1b2c3d4-0028-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-call-rescheduled-fr,POSTMARK,42294751,gn-b2b-call-rescheduled-fr,50
a1b2c3d4-0029-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-call-cancelled-en,POSTMARK,42294647,gn-b2b-call-cancelled-en,50
a1b2c3d4-0030-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-call-cancelled-fr,POSTMARK,42294648,gn-b2b-call-cancelled-fr,50
a1b2c3d4-0031-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-call-reminder-1h-en,POSTMARK,42294735,gn-b2b-call-reminder-1h-en,50
a1b2c3d4-0032-4e5f-8a9b-0c1d2e3f4a5b,gn-b2b-call-reminder-1h-fr,POSTMARK,42294756,gn-b2b-call-reminder-1h-fr,50
a1b2c3d4-0127-4e5f-8a9b-0c1d2e3f4a5b,email_subscription_invoice_fr,POSTMARK,42329636,email_subscription_invoice_fr,50
a1b2c3d4-0132-4e5f-8a9b-0c1d2e3f4a5b,email_subscription_invoice_en,POSTMARK,42329604,email_subscription_invoice_en,50
a1b2c3d4-0227-4e5f-8a9b-0c1d2e3f4a5b,email_balance_statement_fr,POSTMARK,42376617,email_balance_statement_fr,50
a1b2c3d4-0232-4e5f-8a9b-0c1d2e3f4a5b,email_balance_statement_en,POSTMARK,42376658,email_balance_statement_en,50
a1b2c3d4-1234-4a5b-8c9d-0e1f2a3b4c5d,gn-b2b-onboarding-started-kyb-process-en,POSTMARK,42077248,gn-b2b-onboarding-started-kyb-process-en,50
a3b4c5d6-3456-4a7b-0c1d-2e3f4a5b6c7d,gn-b2b-onboarding-completed-en,POSTMARK,42075881,gn-b2b-onboarding-completed-en,50
a7b8c9d0-7890-4a1b-4c5d-6e7f8a9b0c1d,gn-b2b-onboarding-document-rejected-en,POSTMARK,42088397,gn-b2b-onboarding-document-rejected-en,50
aa948788-46f7-425b-bf48-4489be5f675e,email_statement_transactions_by_period_fr,POSTMARK,41360660,email_statement_transactions_by_period_fr,50
ae85b364-85a9-46ae-92be-a20d73c18093,gn-b2b-transfer-pending-approval-fr,POSTMARK,42063513,gn-b2b-transfer-pending-approval-fr,50
